x,y,Aurora
24,147,1
24,148,2
24,149,3
24,150,6
24,151,9
24,152,12
24,153,16
24,154,20
24,155,23
24,156,25
24,157,26
24,158,26
24,159,25
24,160,23
24,161,21
24,162,18
24,163,15
24,164,12
24,165,9
24,166,7
24,167,5
24,168,3
24,169,2
24,170,1
24,171,1
25,0,6
25,2,8
25,3,11
25,4,13
25,5,16
25,6,19
25,7,22
25,8,25
25,9,29
25,10,32
25,11,35
25,12,38
25,13,40
25,14,42
25,15,43
25,16,44
25,17,44
25,18,44
25,19,44
25,20,43
25,21,42
25,22,40
25,23,38
25,24,35
25,25,32
25,26,29
25,27,26
25,28,23
25,29,19
25,30,16
25,31,13
25,32,10
25,33,8
25,34,6
25,35,4
25,36,3
25,37,2
25,38,1
25,39,1
25,40,1
25,89,2
25,147,1
25,148,2
25,149,3
25,150,6
25,151,8
25,152,12
25,153,16
25,154,19
25,155,22
25,156,25
25,157,26
25,158,26
25,159,25
25,160,23
25,161,21
25,162,18
25,163,15
25,164,12
25,165,9
25,166,7
25,167,5
25,168,3
25,169,2
25,170,1
25,171,1
26,0,6
26,2,8
26,3,10
26,4,13
26,5,15
26,6,18
26,7,21
26,8,25
26,9,28
26,10,32
26,11,35
26,12,37
26,13,39
26,14,41
26,15,42
26,16,43
26,17,44
26,18,44
26,19,44
26,20,43
26,21,42
26,22,41
26,23,39
26,24,36
26,25,33
26,26,30
26,27,27
26,28,23
26,29,20
26,30,17
26,31,14
26,32,11
26,33,8
26,34,6
26,35,4
26,36,3
26,37,2
26,38,1
26,39,1
26,40,1
26,89,2
26,147,1
26,148,2
26,149,3
26,150,5
26,151,8
26,152,12
26,153,15
26,154,19
26,155,22
26,156,24
26,157,26
26,158,26
26,159,25
26,160,23
26,161,21
26,162,18
26,163,15
26,164,12
26,165,9
26,166,7
26,167,5
26,168,3
26,169,2
26,170,1
26,171,1
27,0,6
27,2,8
27,3,10
27,4,12
27,5,15
27,6,18
27,7,21
27,8,24
27,9,28
27,10,31
27,11,34
27,12,37
27,13,39
27,14,41
27,15,42
27,16,43
27,17,43
27,18,44
27,19,44
27,20,43
27,21,42
27,22,41
27,23,39
27,24,37
27,25,34
27,26,31
27,27,28
27,28,24
27,29,21
27,30,18
27,31,14
27,32,11
27,33,9
27,34,7
27,35,5
27,36,3
27,37,2
27,38,2
27,39,1
27,40,1
27,89,2
27,147,1
27,148,2
27,149,3
27,150,5
27,151,8
27,152,11
27,153,15
27,154,19
27,155,22
27,156,24
27,157,25
27,158,25
27,159,25
27,160,23
27,161,21
27,162,18
27,163,15
27,164,12
27,165,9
27,166,7
27,167,5
27,168,3
27,169,2
27,170,1
27,171,1
28,0,5
28,2,8
28,3,10
28,4,12
28,5,15
28,6,17
28,7,20
28,8,24
28,9,27
28,10,30
28,11,33
28,12,36
28,13,38
28,14,40
28,15,41
28,16,42
28,17,43
28,18,43
28,19,43
28,20,43
28,21,42
28,22,41
28,23,40
28,24,37
28,25,35
28,26,32
28,27,29
28,28,25
28,29,22
28,30,19
28,31,15
28,32,12
28,33,9
28,34,7
28,35,5
28,36,4
28,37,2
28,38,2
28,39,1
28,40,1
28,89,2
28,147,1
28,148,2
28,149,3
28,150,5
28,151,8
28,152,11
28,153,15
28,154,18
28,155,22
28,156,24
28,157,25
28,158,25
28,159,24
28,160,23
28,161,20
28,162,18
28,163,15
28,164,12
28,165,9
28,166,7
28,167,5
28,168,3
28,169,2
28,170,1
28,171,1
29,0,5
29,2,8
29,3,10
29,4,12
29,5,14
29,6,17
29,7,20
29,8,23
29,9,26
29,10,29
29,11,32
29,12,35
29,13,38
29,14,39
29,15,41
29,16,42
29,17,43
29,18,43
29,19,43
29,20,43
29,21,42
29,22,42
29,23,40
29,24,38
29,25,36
29,26,33
29,27,30
29,28,26
29,29,23
29,30,19
29,31,16
29,32,13
29,33,10
29,34,8
29,35,5
29,36,4
29,37,3
29,38,2
29,39,1
29,40,1
29,89,2
29,147,1
29,148,2
29,149,3
29,150,5
29,151,8
29,152,11
29,153,15
29,154,18
29,155,21
29,156,24
29,157,25
29,158,25
29,159,24
29,160,23
29,161,20
29,162,18
29,163,15
29,164,12
29,165,9
29,166,7
29,167,5
29,168,3
29,169,2
29,170,1
29,171,1
30,0,5
30,2,7
30,3,10
30,4,12
30,5,14
30,6,16
30,7,19
30,8,22
30,9,25
30,10,29
30,11,32
30,12,34
30,13,37
30,14,39
30,15,40
30,16,41
30,17,42
30,18,43
30,19,43
30,20,43
30,21,43
30,22,42
30,23,40
30,24,39
30,25,36
30,26,34
30,27,31
30,28,27
30,29,24
30,30,20
30,31,17
30,32,14
30,33,11
30,34,8
30,35,6
30,36,4
30,37,3
30,38,2
30,39,1
30,40,1
30,89,2
30,147,1
30,148,2
30,149,3
30,150,5
30,151,8
30,152,11
30,153,14
30,154,18
30,155,21
30,156,23
30,157,25
30,158,25
30,159,24
30,160,22
30,161,20
30,162,18
30,163,15
30,164,12
30,165,10
30,166,7
30,167,5
30,168,3
30,169,2
30,170,1
30,171,1
31,0,5
31,2,7
31,3,9
31,4,11
31,5,13
31,6,16
31,7,18
31,8,21
31,9,25
31,10,28
31,11,31
31,12,34
31,13,36
31,14,38
31,15,40
31,16,41
31,17,42
31,18,42
31,19,43
31,20,43
31,21,42
31,22,42
31,23,41
31,24,39
31,25,37
31,26,34
31,27,31
31,28,28
31,29,25
31,30,21
31,31,18
31,32,14
31,33,11
31,34,9
31,35,6
31,36,4
31,37,3
31,38,2
31,39,1
31,40,1
31,89,2
31,147,1
31,148,1
31,149,3
31,150,5
31,151,7
31,152,11
31,153,14
31,154,18
31,155,21
31,156,23
31,157,25
31,158,25
31,159,24
31,160,22
31,161,20
31,162,18
31,163,15
31,164,12
31,165,10
31,166,7
31,167,5
31,168,3
31,169,2
31,170,1
31,171,1
32,0,5
32,2,7
32,3,9
32,4,11
32,5,13
32,6,15
32,7,18
32,8,21
32,9,24
32,10,27
32,11,30
32,12,33
32,13,35
32,14,37
32,15,39
32,16,40
32,17,41
32,18,42
32,19,42
32,20,42
32,21,42
32,22,42
32,23,41
32,24,39
32,25,38
32,26,35
32,27,32
32,28,29
32,29,26
32,30,22
32,31,19
32,32,15
32,33,12
32,34,9
32,35,7
32,36,5
32,37,3
32,38,2
32,39,1
32,40,1
32,89,1
32,147,1
32,148,1
32,149,3
32,150,5
32,151,7
32,152,10
32,153,14
32,154,17
32,155,21
32,156,23
32,157,24
32,158,25
32,159,24
32,160,22
32,161,20
32,162,18
32,163,15
32,164,12
32,165,10
32,166,7
32,167,5
32,168,3
32,169,2
32,170,1
32,171,1
33,0,5
33,2,7
33,3,9
33,4,11
33,5,13
33,6,15
33,7,17
33,8,20
33,9,23
33,10,26
33,11,29
33,12,32
33,13,34
33,14,37
33,15,38
33,16,40
33,17,41
33,18,41
33,19,42
33,20,42
33,21,42
33,22,42
33,23,41
33,24,40
33,25,38
33,26,36
33,27,33
33,28,30
33,29,27
33,30,23
33,31,20
33,32,16
33,33,13
33,34,10
33,35,7
33,36,5
33,37,4
33,38,2
33,39,2
33,40,1
33,89,1
33,147,1
33,148,1
33,149,3
33,150,5
33,151,7
33,152,10
33,153,14
33,154,17
33,155,20
33,156,23
33,157,24
33,158,24
33,159,24
33,160,22
33,161,20
33,162,18
33,163,15
33,164,12
33,165,10
33,166,7
33,167,5
33,168,3
33,169,2
33,170,1
33,171,1
34,0,5
34,2,7
34,3,9
34,4,10
34,5,12
34,6,14
34,7,17
34,8,19
34,9,22
34,10,25
34,11,28
34,12,31
34,13,33
34,14,36
34,15,37
34,16,39
34,17,40
34,18,41
34,19,41
34,20,42
34,21,42
34,22,42
34,23,41
34,24,40
34,25,38
34,26,36
34,27,34
34,28,31
34,29,28
34,30,24
34,31,21
34,32,17
34,33,14
34,34,11
34,35,8
34,36,6
